title,time,url,abstract
李迅雷：从人口迁徙看投资机会,2018-04-23 12:16,http://finance.sina.com.cn/roll/2018-04-23/doc-ifzqvvrz7447319.shtml,在内陆腹地省份常住人口向省会集中的过程中，省内其他城市则呈现出明显的人口迁徙流出迹象
生态环境部：将对太原11家单位向地方政府发预警函,2018-04-23 12:15,http://finance.sina.com.cn/china/gncj/2018-04-23/doc-ifzqvvrz7442921.shtml,证券时报网（www.stcn.com）04月23日讯
近1亿资金经POS机不翼而飞 钱都去哪儿了？,2018-04-23 12:13,http://www.sohu.com/a/229144385_319643,此后pos机资金到账稳定，通过交易商户代码可以看到资金结算是通过826开头的银盛支付通道，但商户名称全部跳转省外
9 要闻,2018-04-23 12:09,http://www.sohu.com/a/229144144_114731,《 人民日报 》 2018年04月23日 09 版（：人民网-人民日报）
苹果概念股纷纷走低，科技类蓝筹集体杀跌,2018-04-23 12:08,http://www.sohu.com/a/229143969_114986,金融机构mirabaud分析师neil campling在一份最新的报告中指出，鉴于目前智能手机放缓的情况，苹果今年可能会停产iphone x，调整新的应对策略
5G概念盘中拉升，创业板指跌逾1%,2018-04-23 12:08,http://www.sohu.com/a/229143785_114986,集成电路、国防军工、苹果概念等板块跌幅居前
新疆生产建设兵团棉花播种接近尾声,2018-04-23 12:08,http://www.sohu.com/a/229143990_114731,"截至目前,新疆南疆地区棉花播种已全部结束,北疆地区棉花播种已进入收尾阶段,4月下旬新疆兵团的棉花播种可全部结束"
对冲基金从没这么看多原油 但还记得2008年吗？,2018-04-23 11:59,http://www.sohu.com/a/229143010_130887,但也有市场分析给目前的“原油热”泼了一盆冷水，彭博社引述原油策略分析师julian lee的提醒称，“沙特原油部长表示全球可能会容许油价进一步走高，这一幕与2008年的情况非常相似
五得利回应面粉突遭退货：退换面粉4467袋 相关产品已主动抽样送检,2018-04-23 11:56,http://www.sohu.com/a/229142648_120702,经济日报-中国经济网北京4月23日 据媒体22日报道，媒体记者从河北省深州市食品和市场监督管理局获悉，五得利集团深州面粉有限公司生产的多批次面粉突然遭到多地经销商大量退货，原因不详
午评:沪指跌0.11% 结构性行情下芯片股分化,2018-04-23 11:56,http://www.sohu.com/a/229142281_120702,经济日报-中国经济网北京4月23日讯 股指早盘平开，随后三大股指冲高后陆续回落，有色等板块受挫拖累沪指下行，而近期热点的芯片等题材股出现显著分化，创业板指数也随之持续走低跌近1%
万丰奥威三个交易日蒸发90亿 百年人寿华鑫信托叫苦,2018-04-23 11:56,http://www.sohu.com/a/229142282_120702,陕西省国际信托股份有限公司－陕国投·鑫鑫向荣9号证券投资集合资金信托计划是在2016年第三季度进入万丰奥威前十大股东，目前持股4598万股，持股比例2.1%
新三板跨市场挂牌通H股道开启 国际化之路正式启程,2018-04-23 11:56,http://www.sohu.com/a/229142443_120702,广证恒生新三板研究团队认为，全国股转公司对挂牌公司申请到香港交易所发行股票和上市不设前置审查程序及特别条件，利好挂牌未盈利企业、生物医药类企业以及a股上市公司子公司
午间重磅公告：一公司1类注射液获注册受理,2018-04-23 11:53,http://finance.sina.com.cn/stock/y/2018-04-23/doc-ifzqvvrz7286978.shtml,农业农村部发展计划司司长魏百刚介绍，下一步农业农村部将重点围绕改善农业基础设施、强化科技支撑、推进产销衔接、整治农村人居环境等这样一些领域采取各种方式，包括ppp等等，来优化农业农村的投资环境，引导和撬动更多社会资本、金融资本来投入
三重压力之下，美国财长要访华了,2018-04-23 11:52,http://www.sohu.com/a/229142578_617374,对与中国的贸易战，特朗普原来的想法，应该也很简单：贸易战一点都不难，我们美国肯定赢
牛汇:政策会议前噤声期又至 美联储大佬近来说了啥,2018-04-23 11:52,http://finance.sina.com.cn/money/forex/forexfxyc/2018-04-23/doc-ifzqvvrz7280648.shtml,随着经济改善，美联储可能加息至中性利率水平
中国农业未来十年展望：不平衡不充分问题将得到解决,2018-04-23 11:48,http://www.sohu.com/a/229141185_118622,报告认为，2018年中国农产品市场主要特点有：农业生产保持稳健增长，结构持续优化，农产品消费继续增长，消费结构升级加快，农产品进口继续增加，架构出现分化，农产品价格总体平稳，部分品种波动风险较大
提名董事被否后 华平股份二股东再递增补董事提案,2018-04-23 11:46,http://finance.sina.com.cn/stock/s/2018-04-23/doc-ifzqvvrz7243231.shtml,提名董事被否后，华平股份（300074）二股东熊模昌（持股华平股份5309.82万股，占总股本比例9.78%）毫不气馁，于4月19日再向上市公司提交《关于公司2018年第一次临时股东大会增加临时提案的通知函》，要求增加《关于增补李强先生为公司第四届董事会非独立董事候选人的提案》
李大霄：贸易争端能否顺利解决 对股市影响重大,2018-04-23 11:45,http://finance.sina.com.cn/stock/stocktalk/2018-04-23/doc-ifzqvvrz7232065.shtml,英大证券首席经济学家李大霄表示，美国财长说准备到中国来谈判贸易争端的问题，这是一个重要的信号
挣扎的四川长虹：从“彩电大王”到忝陪末座,2018-04-23 11:45,http://finance.sina.com.cn/stock/s/2018-04-23/doc-ifzqvvrz7233023.shtml,四川长虹证券事务代表回应界面新闻称，彩电是长虹的一个传统产品，不过公司现在正在转型
沪指跌0.11% 国防军工行业跌幅最大,2018-04-23 11:45,http://finance.sina.com.cn/stock/jsy/2018-04-23/doc-ifzqvvrz7232084.shtml,数据统计，截至上午收盘，今日沪指涨幅-0.11%，a股成交量181.11亿股，成交金额2340.20亿元，比上一个交易日减6.00%
午评：沪指跌0.11% 5G概念股逆势拉升,2018-04-23 11:41,http://finance.sina.com.cn/stock/jsy/2018-04-23/doc-ifzqvvrz7206361.shtml,截至午间收盘，沪指报3068.28点，跌3.26点，跌幅0.11%，成交918.6亿元
美元多头王者归来？机构最新美元指数技术前景分析,2018-04-23 11:39,http://www.sohu.com/a/229140416_119759,godbole表示，鉴于10年期美债收益率升势才刚刚开始，美元指数势必将有效突破90.94(3月1日高点)
午评：两市走低 创业板跌逾1%,2018-04-23 11:38,http://finance.sina.com.cn/stock/jsy/2018-04-23/doc-ifzqvvrz7183492.shtml,中金公司认为，市场调整持续已经接近三个月，五月份可能是市场一个相对重要的观察窗口，届时中美贸易摩擦可能到了一定阶段、四月份中国增长数据也将披露，中国政策应对可能有更高的可见度
五一出行成本再增加 油价本周四“三连涨”几无悬念,2018-04-23 11:36,http://www.sohu.com/a/229139789_255783,4月12日24时 6.93（单位：元/升）
一季度净利润大增374.75%，中国联通强势封涨停,2018-04-23 11:36,http://www.sohu.com/a/229139695_114986,东吴证券发布研报称，中国联通通过混改和市场创新不断提升公司核心竞争力，推动收入端持续改善
中国石油管道科研中心贪污窝案 办公室副主任被判缓刑,2018-04-23 11:35,http://www.sohu.com/a/229139906_639898,被告人张某，男，1978年8月出生，博士研究生文化，中国石油管道科研中心应用化学研究所原副所长
午评：沪指横盘震荡 创业板指跌1.31%,2018-04-23 11:34,http://finance.sina.com.cn/stock/jsy/2018-04-23/doc-ifzqvvrz7156244.shtml,e公司讯，今日开盘两市涨跌不一，随后均小幅上扬，不过上攻乏力，三大股指相继下跌翻绿，创业板指跌幅不断扩大
朱啸虎称国内风投不是不投芯片，只是财务回报不理想，你怎么看？,2018-04-23 11:34,http://www.sohu.com/a/229139745_614005,据36氪报道，4月19日，金沙江创投董事总经理朱啸虎针对《中兴启示录：靠送外卖，我们永远赢不了未来的竞争》在朋友圈评论称，“中国的风险投资也不是不投芯片，只是财务回报不理想
35年国企老兵徐乐江点赞华为、中兴创新成果,2018-04-23 11:33,http://www.sohu.com/a/229139262_118622,详细来看，从混合所有制改革动力来说，徐乐江认为：“这个题不破的话，无论从国企还是民企方，要完成党中央给我们指明的方向作为基本经济制度发展混合所有制都是很困难的，这块有待实践的突破和理论的创新
午评：雄安板块高开低走 沪指震荡下跌0.11%,2018-04-23 11:33,http://www.sohu.com/a/229139652_114960,4月23日，沪指早盘低开，盘初在家电、金融等板块活跃带动下拉升翻红，随后走势震荡，午市休盘前再度回落翻绿
名博午后看市：反复筑底是主基调,2018-04-23 11:33,http://finance.sina.com.cn/stock/marketresearch/2018-04-23/doc-ifzqvvrz7151874.shtml,今日沪深两市股指开盘涨跌不一，沪指整体上在平盘线附近维持震荡走势
新三板在线晨报：“新三板+H股”落地，股转不设前置审查程序及特别条件,2018-04-23 11:31,http://www.sohu.com/a/229138780_223785,【“新三板+h股”落地 股转不设前置审查程序及特别条件】4月21日，全国中小企业股份转让系统有限责任公司(以下简称“全国股转公司”)与香港交易及结算所有限公司(以下简称“香港交易所”)在北京签署了合作谅解备忘录
午评：市场指数分化沪指跌0.11% 芯片股全线回调,2018-04-23 11:31,http://finance.sina.com.cn/stock/jsy/2018-04-23/doc-ifzqvvrz7136390.shtml,临近上午收盘，三大股指探底回升，但大小指数出现小幅分化，在银行、通信、券商等板块的积极影响下，沪指盘中曾一度翻红，创业板指数则持续低位震荡
327亿兴全合宜上市盘中跌停，短短3个月浮亏40多亿！,2018-04-23 11:29,http://finance.sina.com.cn/stock/usstock/c/2018-04-23/doc-ifzqvvrz7120257.shtml,今年1月最爆款基金产品兴全合宜一日售罄，募集了327亿巨资，今日（4月23日）兴全合宜在交易所上市首日，盘中触及跌停，投资者不仅损失的净值，而在若想现在兑现还要承受一个跌停或接近跌停的暴跌
新时代！新作为！国企改革发展论坛释放新信号,2018-04-23 11:28,http://www.sohu.com/a/229139023_115926,新华社将进一步大力宣传党中央、国务院关于国资国企改革发展的重大部署和政策举措，深入报道各类所有制企业特别是国有企业改革发展的新典型、新经验、新成就，并组织智库力量深入开展调查研究、提出对策建议，为国有企业更好更快发展营造良好舆论氛围，提供强大信息服务
商周特写 | 最大丑闻缠身，大众汽车忙赎罪,2018-04-23 11:27,http://www.sohu.com/a/229141371_320672,考虑到大众汽车所犯错误的巨大程度，消费者竟然愿意原谅它，这确实是一件不同寻常的事情：麻省理工学院(mi t)的科学家估计，被该公司操纵的汽车所排放出的额外污染将最终导致超过1200人过早死亡
邦达亚洲:加息降温且脱欧忧虑重燃 英镑刷新2周低位,2018-04-23 11:27,http://finance.sina.com.cn/money/forex/forexfxyc/2018-04-23/doc-ifzqvvrz7108189.shtml,除美元指数在美债收益率走高和市场避险情绪升温的联合支撑下突破90.00关口是施压欧元走软的主要原因外，时段内欧洲央行行长德拉基承认欧元区区经济放缓的言论也对欧元构成了一定的打压
